"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people under 18 between 2013-2017."
"36081990100, NY","36081990100","=""36081990100""","N/A"
"36015010300, NY","36015010300","=""36015010300""","21.45"
"36029017502, NY","36029017502","=""36029017502""","17.67"
"36045061100, NY","36045061100","=""36045061100""","26.35"
"36117021501, NY","36117021501","=""36117021501""","18.79"
"36101961400, NY","36101961400","=""36101961400""","15.81"
"36091060602, NY","36091060602","=""36091060602""","23.76"
"36013037600, NY","36013037600","=""36013037600""","20.71"
"36057072600, NY","36057072600","=""36057072600""","25.46"
"36101960600, NY","36101960600","=""36101960600""","17.79"
"36013037000, NY","36013037000","=""36013037000""","18.89"
"36009961200, NY","36009961200","=""36009961200""","20.59"
"36029015700, NY","36029015700","=""36029015700""","25.17"
"36035970200, NY","36035970200","=""36035970200""","20.68"
"36027100000, NY","36027100000","=""36027100000""","16.38"
"36075020902, NY","36075020902","=""36075020902""","20.58"
"36039080100, NY","36039080100","=""36039080100""","14.33"
"36111954200, NY","36111954200","=""36111954200""","23.82"
"36091062000, NY","36091062000","=""36091062000""","20.76"
"36027010000, NY","36027010000","=""36027010000""","16.97"
"36065024302, NY","36065024302","=""36065024302""","22.56"
"36091060901, NY","36091060901","=""36091060901""","23.72"
"36083051901, NY","36083051901","=""36083051901""","24.18"
"36057072300, NY","36057072300","=""36057072300""","24.38"
"36101961100, NY","36101961100","=""36101961100""","21.00"
"36091060501, NY","36091060501","=""36091060501""","19.41"
"36001014700, NY","36001014700","=""36001014700""","21.15"
"36021001700, NY","36021001700","=""36021001700""","13.91"
"36083052102, NY","36083052102","=""36083052102""","14.69"
"36075020800, NY","36075020800","=""36075020800""","20.47"
"36117020900, NY","36117020900","=""36117020900""","25.49"
"36021001600, NY","36021001600","=""36021001600""","17.26"
"36007011902, NY","36007011902","=""36007011902""","20.01"
"36051030700, NY","36051030700","=""36051030700""","23.47"
"36013035300, NY","36013035300","=""36013035300""","17.95"
"36043011302, NY","36043011302","=""36043011302""","17.13"
"36117021502, NY","36117021502","=""36117021502""","24.24"
"36077590201, NY","36077590201","=""36077590201""","21.54"
"36063024303, NY","36063024303","=""36063024303""","20.26"
"36053940401, NY","36053940401","=""36053940401""","18.79"
"36101961600, NY","36101961600","=""36101961600""","22.00"
"36035971500, NY","36035971500","=""36035971500""","19.57"
"36101961700, NY","36101961700","=""36101961700""","17.72"
"36071011602, NY","36071011602","=""36071011602""","23.34"
"36013036300, NY","36013036300","=""36013036300""","17.50"
"36067015800, NY","36067015800","=""36067015800""","20.74"
"36069052200, NY","36069052200","=""36069052200""","16.96"
"36021001500, NY","36021001500","=""36021001500""","10.49"
"36067016801, NY","36067016801","=""36067016801""","19.54"
"36007011901, NY","36007011901","=""36007011901""","25.35"
"36075020701, NY","36075020701","=""36075020701""","22.76"
"36019101700, NY","36019101700","=""36019101700""","19.32"
"36063024102, NY","36063024102","=""36063024102""","25.31"
"36101960400, NY","36101960400","=""36101960400""","17.55"
"36073040801, NY","36073040801","=""36073040801""","18.47"
"36115080300, NY","36115080300","=""36115080300""","22.41"
"36021001800, NY","36021001800","=""36021001800""","19.82"
"36067012000, NY","36067012000","=""36067012000""","19.57"
"36039080201, NY","36039080201","=""36039080201""","21.09"
"36101962300, NY","36101962300","=""36101962300""","24.03"
"36069050601, NY","36069050601","=""36069050601""","18.21"
"36121970700, NY","36121970700","=""36121970700""","22.62"
"36021001400, NY","36021001400","=""36021001400""","16.56"
"36111952600, NY","36111952600","=""36111952600""","20.99"
"36115091000, NY","36115091000","=""36115091000""","14.81"
"36011040500, NY","36011040500","=""36011040500""","20.69"
"36027030000, NY","36027030000","=""36027030000""","21.12"
"36099951000, NY","36099951000","=""36099951000""","21.31"
"36065940200, NY","36065940200","=""36065940200""","N/A"
"36115093000, NY","36115093000","=""36115093000""","24.77"
"36039080502, NY","36039080502","=""36039080502""","18.75"
"36121970600, NY","36121970600","=""36121970600""","22.31"
"36111954500, NY","36111954500","=""36111954500""","12.94"
"36027180001, NY","36027180001","=""36027180001""","18.52"
"36021000200, NY","36021000200","=""36021000200""","21.07"
"36105950500, NY","36105950500","=""36105950500""","18.79"
"36079010500, NY","36079010500","=""36079010500""","17.83"
"36097950400, NY","36097950400","=""36097950400""","19.66"
"36101960100, NY","36101960100","=""36101960100""","22.86"
"36121970200, NY","36121970200","=""36121970200""","14.07"
"36111954700, NY","36111954700","=""36111954700""","14.94"
"36069051200, NY","36069051200","=""36069051200""","23.93"
"36105952200, NY","36105952200","=""36105952200""","19.99"
"36029015003, NY","36029015003","=""36029015003""","19.96"
"36027090000, NY","36027090000","=""36027090000""","19.84"
"36021000100, NY","36021000100","=""36021000100""","15.72"
"36103201001, NY","36103201001","=""36103201001""","22.21"
"36057072200, NY","36057072200","=""36057072200""","21.08"
"36029015002, NY","36029015002","=""36029015002""","22.23"
"36029015101, NY","36029015101","=""36029015101""","20.12"
"36055015000, NY","36055015000","=""36055015000""","18.35"
"36121970500, NY","36121970500","=""36121970500""","20.92"
"36065023702, NY","36065023702","=""36065023702""","21.50"
"36035970100, NY","36035970100","=""36035970100""","23.10"
"36003950700, NY","36003950700","=""36003950700""","17.40"
"36043010202, NY","36043010202","=""36043010202""","17.89"
"36063024502, NY","36063024502","=""36063024502""","18.46"
"36055012402, NY","36055012402","=""36055012402""","25.41"
"36105952100, NY","36105952100","=""36105952100""","17.00"
"36065022800, NY","36065022800","=""36065022800""","19.89"
"36001014502, NY","36001014502","=""36001014502""","20.18"
"36069050201, NY","36069050201","=""36069050201""","24.55"
"36075021501, NY","36075021501","=""36075021501""","22.46"
"36091060101, NY","36091060101","=""36091060101""","18.74"
"36075020703, NY","36075020703","=""36075020703""","19.19"
"36103201004, NY","36103201004","=""36103201004""","10.43"
"36029013800, NY","36029013800","=""36029013800""","19.82"
"36109002100, NY","36109002100","=""36109002100""","20.47"
"36055015200, NY","36055015200","=""36055015200""","21.14"
"36039080600, NY","36039080600","=""36039080600""","24.86"
"36031960498, NY","36031960498","=""36031960498""","7.47"
"36123150400, NY","36123150400","=""36123150400""","16.03"
"36091060800, NY","36091060800","=""36091060800""","24.05"
"36113072000, NY","36113072000","=""36113072000""","16.56"
"36089490800, NY","36089490800","=""36089490800""","15.08"
"36071011900, NY","36071011900","=""36071011900""","18.77"
"36091061600, NY","36091061600","=""36091061600""","19.93"
"36083052501, NY","36083052501","=""36083052501""","19.34"
"36077590800, NY","36077590800","=""36077590800""","17.43"
"36045060900, NY","36045060900","=""36045060900""","30.01"
"36065026200, NY","36065026200","=""36065026200""","21.57"
"36083052201, NY","36083052201","=""36083052201""","23.62"
"36079010600, NY","36079010600","=""36079010600""","20.01"
"36051030600, NY","36051030600","=""36051030600""","19.92"
"36071010600, NY","36071010600","=""36071010600""","23.49"
"36117020600, NY","36117020600","=""36117020600""","23.23"
"36065025500, NY","36065025500","=""36065025500""","19.37"
"36103147004, NY","36103147004","=""36103147004""","18.46"
"36105950800, NY","36105950800","=""36105950800""","17.26"
"36111950100, NY","36111950100","=""36111950100""","22.40"
"36019100800, NY","36019100800","=""36019100800""","16.66"
"36067016802, NY","36067016802","=""36067016802""","21.70"
"36065023902, NY","36065023902","=""36065023902""","23.87"
"36067016001, NY","36067016001","=""36067016001""","17.46"
"36065025700, NY","36065025700","=""36065025700""","18.43"
"36053940200, NY","36053940200","=""36053940200""","16.87"
"36071015200, NY","36071015200","=""36071015200""","25.92"
"36055013300, NY","36055013300","=""36055013300""","20.49"
"36055014700, NY","36055014700","=""36055014700""","22.24"
"36057072100, NY","36057072100","=""36057072100""","15.73"
"36029014903, NY","36029014903","=""36029014903""","22.58"
"36007012600, NY","36007012600","=""36007012600""","23.15"
"36095740200, NY","36095740200","=""36095740200""","18.22"
"36103200902, NY","36103200902","=""36103200902""","13.24"
"36053940700, NY","36053940700","=""36053940700""","21.29"
"36109002200, NY","36109002200","=""36109002200""","18.88"
"36105951600, NY","36105951600","=""36105951600""","19.32"
"36007014600, NY","36007014600","=""36007014600""","22.91"
