"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of all people under 18 between 2013-2017."
"37101041501, NC","37101041501","=""37101041501""","28.28"
"37197050501, NC","37197050501","=""37197050501""","21.74"
"37101040203, NC","37101040203","=""37101040203""","30.85"
"37151031100, NC","37151031100","=""37151031100""","24.22"
"37113970502, NC","37113970502","=""37113970502""","14.42"
"37023021203, NC","37023021203","=""37023021203""","21.56"
"37127011102, NC","37127011102","=""37127011102""","16.67"
"37159050901, NC","37159050901","=""37159050901""","19.39"
"37001021803, NC","37001021803","=""37001021803""","22.71"
"37191001101, NC","37191001101","=""37191001101""","21.83"
"37001021500, NC","37001021500","=""37001021500""","23.13"
"37181960900, NC","37181960900","=""37181960900""","30.56"
"37195001600, NC","37195001600","=""37195001600""","25.33"
"37183054301, NC","37183054301","=""37183054301""","27.67"
"37011930100, NC","37011930100","=""37011930100""","13.46"
"37051003001, NC","37051003001","=""37051003001""","29.60"
"37127011200, NC","37127011200","=""37127011200""","26.01"
"37151030801, NC","37151030801","=""37151030801""","21.84"
"37069060402, NC","37069060402","=""37069060402""","24.86"
"37085071301, NC","37085071301","=""37085071301""","27.71"
"37053110102, NC","37053110102","=""37053110102""","21.75"
"37045950200, NC","37045950200","=""37045950200""","20.91"
"37011930301, NC","37011930301","=""37011930301""","16.57"
"37057061804, NC","37057061804","=""37057061804""","16.38"
"37099950200, NC","37099950200","=""37099950200""","16.43"
"37101041400, NC","37101041400","=""37101041400""","23.81"
"37093970402, NC","37093970402","=""37093970402""","31.52"
"37157040602, NC","37157040602","=""37157040602""","20.48"
"37135010901, NC","37135010901","=""37135010901""","23.62"
"37051980100, NC","37051980100","=""37051980100""","N/A"
"37101041503, NC","37101041503","=""37101041503""","26.43"
"37151031200, NC","37151031200","=""37151031200""","21.54"
"37035011501, NC","37035011501","=""37035011501""","19.58"
"37047931000, NC","37047931000","=""37047931000""","21.77"
"37185950102, NC","37185950102","=""37185950102""","11.07"
"37195000900, NC","37195000900","=""37195000900""","24.71"
"37087920700, NC","37087920700","=""37087920700""","11.54"
"37007920500, NC","37007920500","=""37007920500""","15.48"
"37059080700, NC","37059080700","=""37059080700""","19.83"
"37035011702, NC","37035011702","=""37035011702""","25.63"
"37139960600, NC","37139960600","=""37139960600""","16.58"
"37191000401, NC","37191000401","=""37191000401""","26.89"
"37101040600, NC","37101040600","=""37101040600""","25.53"
"37171931002, NC","37171931002","=""37171931002""","23.83"
"37167930102, NC","37167930102","=""37167930102""","21.89"
"37109070600, NC","37109070600","=""37109070600""","21.37"
"37055970602, NC","37055970602","=""37055970602""","24.76"
"37155961700, NC","37155961700","=""37155961700""","17.77"
"37133000102, NC","37133000102","=""37133000102""","21.68"
"37077970200, NC","37077970200","=""37077970200""","18.99"
"37085070402, NC","37085070402","=""37085070402""","24.90"
"37159051802, NC","37159051802","=""37159051802""","20.62"
"37021002703, NC","37021002703","=""37021002703""","18.54"
"37021003204, NC","37021003204","=""37021003204""","22.62"
"37009970400, NC","37009970400","=""37009970400""","21.63"
"37171931003, NC","37171931003","=""37171931003""","34.02"
"37191000902, NC","37191000902","=""37191000902""","22.73"
"37109070902, NC","37109070902","=""37109070902""","21.66"
"37151030600, NC","37151030600","=""37151030600""","22.94"
"37193960300, NC","37193960300","=""37193960300""","22.85"
"37107011300, NC","37107011300","=""37107011300""","22.47"
"37001021801, NC","37001021801","=""37001021801""","23.16"
"37057062002, NC","37057062002","=""37057062002""","20.38"
"37163970700, NC","37163970700","=""37163970700""","28.64"
"37167930200, NC","37167930200","=""37167930200""","15.51"
"37133000202, NC","37133000202","=""37133000202""","28.74"
"37127011400, NC","37127011400","=""37127011400""","23.80"
"37195001700, NC","37195001700","=""37195001700""","22.33"
